"RunDate","TagType","TagName","Workload","TotalCount"
"2026-07-01","SensitiveInformationType","Credit Card Number","Teams","105"
"2026-07-01","SensitiveInformationType","U.S. Social Security Number (SSN)","EXO","106"
"2026-07-01","SensitiveInformationType","U.S. Social Security Number (SSN)","ODB","106"
"2026-07-01","SensitiveInformationType","U.S. Social Security Number (SSN)","SPO","106"
"2026-07-01","SensitiveInformationType","U.S. Social Security Number (SSN)","Teams","112"
"2026-07-01","SensitiveInformationType","U.S. / U.K. Passport Number","EXO","113"
"2026-07-01","SensitiveInformationType","U.S. / U.K. Passport Number","ODB","113"
"2026-07-01","SensitiveInformationType","U.S. / U.K. Passport Number","SPO","113"
"2026-07-01","SensitiveInformationType","U.S. / U.K. Passport Number","Teams","119"
"2026-08-01","Sensitivity","Public","EXO","36"
"2026-08-01","Sensitivity","Public","ODB","50"
"2026-08-01","Sensitivity","Public","SPO","53"
"2026-08-01","Sensitivity","Public","Teams","42"
"2026-08-01","Sensitivity","General","EXO","57"
"2026-08-01","Sensitivity","General","ODB","43"
"2026-08-01","Sensitivity","General","SPO","60"
"2026-08-01","Sensitivity","General","Teams","55"
"2026-08-01","Sensitivity","Confidential","EXO","66"
"2026-08-01","Sensitivity","Confidential","ODB","63"
"2026-08-01","Sensitivity","Confidential","SPO","50"
"2026-08-01","Sensitivity","Confidential","Teams","71"
"2026-08-01","Sensitivity","Confidential-Internal","EXO","58"
"2026-08-01","Sensitivity","Confidential-Internal","ODB","55"
"2026-08-01","Sensitivity","Confidential-Internal","SPO","62"
"2026-08-01","Sensitivity","Confidential-Internal","Teams","71"
"2026-08-01","Sensitivity","Confidential-Partner","EXO","80"
"2026-08-01","Sensitivity","Confidential-Partner","ODB","77"
"2026-08-01","Sensitivity","Confidential-Partner","SPO","80"
"2026-08-01","Sensitivity","Confidential-Partner","Teams","74"
"2026-08-01","Sensitivity","Highly Confidential","EXO","86"
"2026-08-01","Sensitivity","Highly Confidential","ODB","82"
"2026-08-01","Sensitivity","Highly Confidential","SPO","80"
"2026-08-01","Sensitivity","Highly Confidential","Teams","94"
"2026-08-01","Sensitivity","Restricted","EXO","83"
"2026-08-01","Sensitivity","Restricted","ODB","88"
"2026-08-01","Sensitivity","Restricted","SPO","85"
"2026-08-01","Sensitivity","Restricted","Teams","88"
"2026-08-01","Retention","7 Year Retention","EXO","85"
"2026-08-01","Retention","7 Year Retention","ODB","88"
"2026-08-01","Retention","7 Year Retention","SPO","102"
"2026-08-01","Retention","7 Year Retention","Teams","99"
"2026-08-01","Retention","Permanent Record","EXO","109"
"2026-08-01","Retention","Permanent Record","ODB","104"
"2026-08-01","Retention","Permanent Record","SPO","106"
"2026-08-01","Retention","Permanent Record","Teams","112"
"2026-08-01","Retention","Delete after 90 days","EXO","106"
"2026-08-01","Retention","Delete after 90 days","ODB","103"
"2026-08-01","Retention","Delete after 90 days","SPO","115"
"2026-08-01","Retention","Delete after 90 days","Teams","107"
"2026-08-01","SensitiveInformationType","Credit Card Number","EXO","119"
"2026-08-01","SensitiveInformationType","Credit Card Number","ODB","105"
"2026-08-01","SensitiveInformationType","Credit Card Number","SPO","116"
"2026-08-01","SensitiveInformationType","Credit Card Number","Teams","128"
"2026-08-01","SensitiveInformationType","U.S. Social Security Number (SSN)","EXO","126"
"2026-08-01","SensitiveInformationType","U.S. Social Security Number (SSN)","ODB","125"
"2026-08-01","SensitiveInformationType","U.S. Social Security Number (SSN)","SPO","124"
"2026-08-01","SensitiveInformationType","U.S. Social Security Number (SSN)","Teams","126"
"2026-08-01","SensitiveInformationType","U.S. / U.K. Passport Number","EXO","122"
"2026-08-01","SensitiveInformationType","U.S. / U.K. Passport Number","ODB","134"
"2026-08-01","SensitiveInformationType","U.S. / U.K. Passport Number","SPO","119"
"2026-08-01","SensitiveInformationType","U.S. / U.K. Passport Number","Teams","137"
"2026-09-01","Sensitivity","Public","EXO","65"
"2026-09-01","Sensitivity","Public","ODB","43"
"2026-09-01","Sensitivity","Public","SPO","69"
"2026-09-01","Sensitivity","Public","Teams","63"
"2026-09-01","Sensitivity","General","EXO","54"
"2026-09-01","Sensitivity","General","ODB","46"
"2026-09-01","Sensitivity","General","SPO","76"
"2026-09-01","Sensitivity","General","Teams","60"
"2026-09-01","Sensitivity","Confidential","EXO","79"
"2026-09-01","Sensitivity","Confidential","ODB","77"
"2026-09-01","Sensitivity","Confidential","SPO","63"
"2026-09-01","Sensitivity","Confidential","Teams","83"
"2026-09-01","Sensitivity","Confidential-Internal","EXO","92"
"2026-09-01","Sensitivity","Confidential-Internal","ODB","84"
"2026-09-01","Sensitivity","Confidential-Internal","SPO","94"
"2026-09-01","Sensitivity","Confidential-Internal","Teams","84"
"2026-09-01","Sensitivity","Confidential-Partner","EXO","73"
"2026-09-01","Sensitivity","Confidential-Partner","ODB","87"
"2026-09-01","Sensitivity","Confidential-Partner","SPO","69"
"2026-09-01","Sensitivity","Confidential-Partner","Teams","97"
"2026-09-01","Sensitivity","Highly Confidential","EXO","106"
"2026-09-01","Sensitivity","Highly Confidential","ODB","102"
"2026-09-01","Sensitivity","Highly Confidential","SPO","96"
"2026-09-01","Sensitivity","Highly Confidential","Teams","112"
"2026-09-01","Sensitivity","Restricted","EXO","81"
"2026-09-01","Sensitivity","Restricted","ODB","107"
"2026-09-01","Sensitivity","Restricted","SPO","87"
"2026-09-01","Sensitivity","Restricted","Teams","111"
"2026-09-01","Retention","7 Year Retention","EXO","124"
"2026-09-01","Retention","7 Year Retention","ODB","88"
"2026-09-01","Retention","7 Year Retention","SPO","92"
"2026-09-01","Retention","7 Year Retention","Teams","104"
"2026-09-01","Retention","Permanent Record","EXO","101"
"2026-09-01","Retention","Permanent Record","ODB","105"
"2026-09-01","Retention","Permanent Record","SPO","127"
"2026-09-01","Retention","Permanent Record","Teams","135"
"2026-09-01","Retention","Delete after 90 days","EXO","138"
"2026-09-01","Retention","Delete after 90 days","ODB","114"
"2026-09-01","Retention","Delete after 90 days","SPO","124"
"2026-09-01","Retention","Delete after 90 days","Teams","124"
"2026-09-01","SensitiveInformationType","Credit Card Number","EXO","129"
"2026-09-01","SensitiveInformationType","Credit Card Number","ODB","137"
"2026-09-01","SensitiveInformationType","Credit Card Number","SPO","131"
"2026-09-01","SensitiveInformationType","Credit Card Number","Teams","119"
"2026-09-01","SensitiveInformationType","U.S. Social Security Number (SSN)","EXO","146"
"2026-09-01","SensitiveInformationType","U.S. Social Security Number (SSN)","ODB","154"
"2026-09-01","SensitiveInformationType","U.S. Social Security Number (SSN)","SPO","118"
"2026-09-01","SensitiveInformationType","U.S. Social Security Number (SSN)","Teams","126"
"2026-09-01","SensitiveInformationType","U.S. / U.K. Passport Number","EXO","155"
"2026-09-01","SensitiveInformationType","U.S. / U.K. Passport Number","ODB","131"
"2026-09-01","SensitiveInformationType","U.S. / U.K. Passport Number","SPO","133"
"2026-09-01","SensitiveInformationType","U.S. / U.K. Passport Number","Teams","155"
